preddate=2011001, pairdateL=2011112, pairdateM=2011112
preddate=2011002, pairdateL=2011112, pairdateM=2011112
preddate=2011003, pairdateL=2011112, pairdateM=2011112
preddate=2011004, pairdateL=2011112, pairdateM=2011112
preddate=2011005, pairdateL=2011112, pairdateM=2011112
preddate=2011006, pairdateL=2011112, pairdateM=2011112
preddate=2011007, pairdateL=2011112, pairdateM=2011112
preddate=2011008, pairdateL=2011112, pairdateM=2011112
preddate=2011009, pairdateL=2011112, pairdateM=2011112
preddate=2011010, pairdateL=2011112, pairdateM=2011112
preddate=2011011, pairdateL=2011112, pairdateM=2011112
preddate=2011012, pairdateL=2011112, pairdateM=2011112
preddate=2011013, pairdateL=2011112, pairdateM=2011112
preddate=2011014, pairdateL=2011112, pairdateM=2011112
preddate=2011015, pairdateL=2011112, pairdateM=2011112
preddate=2011016, pairdateL=2011112, pairdateM=2011112
preddate=2011017, pairdateL=2011112, pairdateM=2011112
preddate=2011018, pairdateL=2011112, pairdateM=2011112
preddate=2011019, pairdateL=2011112, pairdateM=2011112
preddate=2011020, pairdateL=2011112, pairdateM=2011112
preddate=2011021, pairdateL=2011112, pairdateM=2011112
preddate=2011022, pairdateL=2011112, pairdateM=2011112
preddate=2011023, pairdateL=2011112, pairdateM=2011112
preddate=2011024, pairdateL=2011112, pairdateM=2011112
preddate=2011025, pairdateL=2011112, pairdateM=2011112
preddate=2011026, pairdateL=2011112, pairdateM=2011112
preddate=2011027, pairdateL=2011112, pairdateM=2011112
preddate=2011028, pairdateL=2011112, pairdateM=2011112
preddate=2011029, pairdateL=2011112, pairdateM=2011112
preddate=2011030, pairdateL=2011112, pairdateM=2011112
preddate=2011031, pairdateL=2011112, pairdateM=2011112
preddate=2011032, pairdateL=2011112, pairdateM=2011112
preddate=2011033, pairdateL=2011112, pairdateM=2011112
preddate=2011034, pairdateL=2011112, pairdateM=2011112
preddate=2011035, pairdateL=2011112, pairdateM=2011112
preddate=2011036, pairdateL=2011112, pairdateM=2011112
preddate=2011037, pairdateL=2011112, pairdateM=2011112
preddate=2011038, pairdateL=2011112, pairdateM=2011112
preddate=2011039, pairdateL=2011112, pairdateM=2011112
preddate=2011040, pairdateL=2011112, pairdateM=2011112
preddate=2011041, pairdateL=2011112, pairdateM=2011112
preddate=2011042, pairdateL=2011112, pairdateM=2011112
preddate=2011043, pairdateL=2011112, pairdateM=2011112
preddate=2011044, pairdateL=2011112, pairdateM=2011112
preddate=2011045, pairdateL=2011112, pairdateM=2011112
preddate=2011046, pairdateL=2011112, pairdateM=2011112
preddate=2011047, pairdateL=2011112, pairdateM=2011112
preddate=2011048, pairdateL=2011112, pairdateM=2011112
preddate=2011049, pairdateL=2011112, pairdateM=2011112
preddate=2011050, pairdateL=2011112, pairdateM=2011112
preddate=2011051, pairdateL=2011112, pairdateM=2011112
preddate=2011052, pairdateL=2011112, pairdateM=2011112
preddate=2011053, pairdateL=2011112, pairdateM=2011112
preddate=2011054, pairdateL=2011112, pairdateM=2011112
preddate=2011055, pairdateL=2011112, pairdateM=2011112
preddate=2011056, pairdateL=2011112, pairdateM=2011112
preddate=2011057, pairdateL=2011112, pairdateM=2011112
preddate=2011058, pairdateL=2011112, pairdateM=2011112
preddate=2011059, pairdateL=2011112, pairdateM=2011112
preddate=2011060, pairdateL=2011112, pairdateM=2011112
preddate=2011061, pairdateL=2011112, pairdateM=2011112
preddate=2011062, pairdateL=2011112, pairdateM=2011112
preddate=2011063, pairdateL=2011112, pairdateM=2011112
preddate=2011064, pairdateL=2011112, pairdateM=2011112
preddate=2011065, pairdateL=2011112, pairdateM=2011112
preddate=2011066, pairdateL=2011112, pairdateM=2011112
preddate=2011067, pairdateL=2011112, pairdateM=2011112
preddate=2011068, pairdateL=2011112, pairdateM=2011112
preddate=2011069, pairdateL=2011112, pairdateM=2011112
preddate=2011070, pairdateL=2011112, pairdateM=2011112
preddate=2011071, pairdateL=2011112, pairdateM=2011112
preddate=2011072, pairdateL=2011112, pairdateM=2011112
preddate=2011073, pairdateL=2011112, pairdateM=2011112
preddate=2011074, pairdateL=2011112, pairdateM=2011112
preddate=2011075, pairdateL=2011112, pairdateM=2011112
preddate=2011076, pairdateL=2011112, pairdateM=2011112
preddate=2011077, pairdateL=2011112, pairdateM=2011112
preddate=2011078, pairdateL=2011112, pairdateM=2011112
preddate=2011079, pairdateL=2011112, pairdateM=2011112
preddate=2011080, pairdateL=2011112, pairdateM=2011112
preddate=2011081, pairdateL=2011112, pairdateM=2011112
preddate=2011082, pairdateL=2011112, pairdateM=2011112
preddate=2011083, pairdateL=2011112, pairdateM=2011112
preddate=2011084, pairdateL=2011112, pairdateM=2011112
preddate=2011085, pairdateL=2011112, pairdateM=2011112
preddate=2011086, pairdateL=2011112, pairdateM=2011112
preddate=2011087, pairdateL=2011112, pairdateM=2011112
preddate=2011088, pairdateL=2011112, pairdateM=2011112
preddate=2011089, pairdateL=2011112, pairdateM=2011112
preddate=2011090, pairdateL=2011112, pairdateM=2011112
preddate=2011091, pairdateL=2011112, pairdateM=2011112
preddate=2011092, pairdateL=2011112, pairdateM=2011112
preddate=2011093, pairdateL=2011112, pairdateM=2011112
preddate=2011094, pairdateL=2011112, pairdateM=2011112
preddate=2011095, pairdateL=2011112, pairdateM=2011112
preddate=2011096, pairdateL=2011112, pairdateM=2011112
preddate=2011097, pairdateL=2011112, pairdateM=2011112
preddate=2011098, pairdateL=2011112, pairdateM=2011112
preddate=2011099, pairdateL=2011112, pairdateM=2011112
preddate=2011100, pairdateL=2011112, pairdateM=2011112
preddate=2011101, pairdateL=2011112, pairdateM=2011112
preddate=2011102, pairdateL=2011112, pairdateM=2011112
preddate=2011103, pairdateL=2011112, pairdateM=2011112
preddate=2011104, pairdateL=2011112, pairdateM=2011112
preddate=2011105, pairdateL=2011112, pairdateM=2011112
preddate=2011106, pairdateL=2011112, pairdateM=2011112
preddate=2011107, pairdateL=2011112, pairdateM=2011112
preddate=2011108, pairdateL=2011112, pairdateM=2011112
preddate=2011109, pairdateL=2011112, pairdateM=2011112
preddate=2011110, pairdateL=2011112, pairdateM=2011112
preddate=2011111, pairdateL=2011112, pairdateM=2011112
preddate=2011112, pairdateL=2011112, pairdateM=2011112
preddate=2011113, pairdateL=2011112, pairdateM=2011112
preddate=2011114, pairdateL=2011112, pairdateM=2011112
preddate=2011115, pairdateL=2011128, pairdateM=2011128
preddate=2011116, pairdateL=2011128, pairdateM=2011128
preddate=2011117, pairdateL=2011128, pairdateM=2011128
preddate=2011118, pairdateL=2011128, pairdateM=2011128
preddate=2011119, pairdateL=2011128, pairdateM=2011128
preddate=2011120, pairdateL=2011128, pairdateM=2011128
preddate=2011121, pairdateL=2011128, pairdateM=2011128
preddate=2011122, pairdateL=2011128, pairdateM=2011128
preddate=2011123, pairdateL=2011128, pairdateM=2011128
preddate=2011124, pairdateL=2011128, pairdateM=2011128
preddate=2011125, pairdateL=2011128, pairdateM=2011128
preddate=2011126, pairdateL=2011128, pairdateM=2011128
preddate=2011127, pairdateL=2011128, pairdateM=2011128
preddate=2011128, pairdateL=2011128, pairdateM=2011128
preddate=2011129, pairdateL=2011128, pairdateM=2011128
preddate=2011130, pairdateL=2011128, pairdateM=2011128
preddate=2011131, pairdateL=2011128, pairdateM=2011128
preddate=2011132, pairdateL=2011128, pairdateM=2011128
preddate=2011133, pairdateL=2011128, pairdateM=2011128
preddate=2011134, pairdateL=2011128, pairdateM=2011128
preddate=2011135, pairdateL=2011128, pairdateM=2011128
preddate=2011136, pairdateL=2011128, pairdateM=2011128
preddate=2011137, pairdateL=2011128, pairdateM=2011128
preddate=2011138, pairdateL=2011128, pairdateM=2011128
preddate=2011139, pairdateL=2011128, pairdateM=2011128
preddate=2011140, pairdateL=2011208, pairdateM=2011208
preddate=2011141, pairdateL=2011208, pairdateM=2011208
preddate=2011142, pairdateL=2011208, pairdateM=2011208
preddate=2011143, pairdateL=2011208, pairdateM=2011208
preddate=2011144, pairdateL=2011208, pairdateM=2011208
preddate=2011145, pairdateL=2011208, pairdateM=2011208
preddate=2011146, pairdateL=2011208, pairdateM=2011208
preddate=2011147, pairdateL=2011208, pairdateM=2011208
preddate=2011148, pairdateL=2011208, pairdateM=2011208
preddate=2011149, pairdateL=2011208, pairdateM=2011208
preddate=2011150, pairdateL=2011208, pairdateM=2011208
preddate=2011151, pairdateL=2011208, pairdateM=2011208
preddate=2011152, pairdateL=2011208, pairdateM=2011208
preddate=2011153, pairdateL=2011208, pairdateM=2011208
preddate=2011154, pairdateL=2011208, pairdateM=2011208
preddate=2011155, pairdateL=2011208, pairdateM=2011208
preddate=2011156, pairdateL=2011208, pairdateM=2011208
preddate=2011157, pairdateL=2011208, pairdateM=2011208
preddate=2011158, pairdateL=2011208, pairdateM=2011208
preddate=2011159, pairdateL=2011208, pairdateM=2011208
preddate=2011160, pairdateL=2011208, pairdateM=2011208
preddate=2011161, pairdateL=2011208, pairdateM=2011208
preddate=2011162, pairdateL=2011208, pairdateM=2011208
preddate=2011163, pairdateL=2011208, pairdateM=2011208
preddate=2011164, pairdateL=2011208, pairdateM=2011208
preddate=2011165, pairdateL=2011208, pairdateM=2011208
preddate=2011166, pairdateL=2011208, pairdateM=2011208
preddate=2011167, pairdateL=2011208, pairdateM=2011208
preddate=2011168, pairdateL=2011208, pairdateM=2011208
preddate=2011169, pairdateL=2011208, pairdateM=2011208
preddate=2011170, pairdateL=2011208, pairdateM=2011208
preddate=2011171, pairdateL=2011208, pairdateM=2011208
preddate=2011172, pairdateL=2011208, pairdateM=2011208
preddate=2011173, pairdateL=2011208, pairdateM=2011208
preddate=2011174, pairdateL=2011208, pairdateM=2011208
preddate=2011175, pairdateL=2011208, pairdateM=2011208
preddate=2011176, pairdateL=2011208, pairdateM=2011208
